fault_name,end,extend_distance,fit_distance
Alfredton combined,SW,40000.0,5000.0
Hope combined,W,40000.0,5000.0
Jordan - Kek - Needles combined,SW,40000.0,5000.0
Cloudy combined,SW,40000.0,5000.0
Campbell Bank - Chancet combined,NE,40000.0,5000.0
Waewaepa combined,SW,40000.0,5000.0
Awatere Northeast 2,NE,40000.0,5000.0
Awatere Northeast 2,SW,40000.0,5000.0
Awatere Southwest,E,40000.0,5000.0
Awatere Southwest,W,40000.0,5000.0
BooBoo,W,40000.0,5000.0
Browning Pass,NE,40000.0,5000.0
Carterton,W,40000.0,5000.0
Fidget,E,40000.0,5000.0
Fidget,W,40000.0,5000.0
Hanmer,E,40000.0,5000.0
Hope Hanmer NW,SW,40000.0,5000.0
Hope Hanmer NW,NE,40000.0,5000.0
Hope Taramakau,E,40000.0,5000.0
Hope Taramakau,W,40000.0,5000.0
Kakapo,E,40000.0,5000.0
Kakapo,W,40000.0,5000.0
Masterton,W,40000.0,5000.0
Pa Valley,NE,40000.0,5000.0
Pa Valley,SW,40000.0,5000.0
Papatea,NW,40000.0,5000.0
Papatea,S,40000.0,5000.0
